CI;Département;Commune;Art;Aire géographique;IDA;id département;type
74306;HAUTE-SAVOIE;Villy-le-Bouveret;;Abondance;1454;74;S
74307;HAUTE-SAVOIE;Villy-le-Pelloux;;Abondance;1454;52;S
74308;HAUTE-SAVOIE;Vinzier;;Abondance;1454;74;S
74311;HAUTE-SAVOIE;Viuz-en-Sallaz;;Abondance;1454;74;S
74310;HAUTE-SAVOIE;Viuz-la-Chiésaz;;Abondance;1454;74;S
74312;HAUTE-SAVOIE;Vougy;;Abondance;1454;70;S
74313;HAUTE-SAVOIE;Vovray-en-Bornes;;Abondance;1454;74;S
66002;PYRENEES-ORIENTALES;Alénya;;Abricots rouges du Roussillon;1735;66;None
66008;PYRENEES-ORIENTALES;Argelès-sur-Mer;;Abricots rouges du Roussillon;1735;66;None
66011;PYRENEES-ORIENTALES;Bages;;Abricots rouges du Roussillon;1735;66;None
66012;PYRENEES-ORIENTALES;Baho;;Abricots rouges du Roussillon;1735;66;None
66014;PYRENEES-ORIENTALES;Baixas;;Abricots rouges du Roussillon;1735;66;None
66015;PYRENEES-ORIENTALES;Banyuls-dels-Aspres;;Abricots rouges du Roussillon;1735;66;None
66017;PYRENEES-ORIENTALES;Barcarès;(Le);Abricots rouges du Roussillon;1735;66;None
66021;PYRENEES-ORIENTALES;Bompas;;Abricots rouges du Roussillon;1735;66;None
